,Country,Year,Suicides number,Life expectancy,Adult Mortality,Infant deaths,Alcohol,Under-five deaths,HIV/AIDS,GDP,Population,Income composition of resources,Schooling
51,Armenia,1970-01-01 00:00:00.000002012,79.0,74.4,121.0,1,3.89,1,0.1,3684.8481,2881922.0,0.732,12.7
52,Armenia,1970-01-01 00:00:00.000002013,67.0,74.4,123.0,1,3.79,1,0.1,3843.591213,289359.0,0.736,12.7
53,Armenia,1970-01-01 00:00:00.000002014,58.0,74.6,12.0,1,3.91,1,0.1,3994.712355,29622.0,0.739,12.7
54,Armenia,1970-01-01 00:00:00.000002015,74.0,74.8,118.0,1,3.91,1,0.1,369.654776,291695.0,0.741,12.7
55,Australia,1970-01-01 00:00:00.000002000,2391.0,79.5,78.0,1,10.17,2,0.1,2169.921,19153.0,0.897,20.4
56,Australia,1970-01-01 00:00:00.000002001,2458.0,79.9,75.0,1,9.53,2,0.1,19517.84168,19413.0,0.899,20.5
57,Australia,1970-01-01 00:00:00.000002002,2319.0,79.9,73.0,1,9.84,2,0.1,281.81763,196514.0,0.902,20.1
58,Australia,1970-01-01 00:00:00.000002003,2156.0,83.0,71.0,1,9.97,1,0.1,23465.38559,198954.0,0.905,20.6
59,Australia,1970-01-01 00:00:00.000002004,2114.0,86.0,69.0,1,9.84,1,0.1,3472.37977,21274.0,0.908,20.7
60,Australia,1970-01-01 00:00:00.000002006,2117.0,81.2,66.0,1,10.31,2,0.1,36118.28381,26979.0,0.915,20.3
61,Australia,1970-01-01 00:00:00.000002007,2229.0,81.3,66.0,1,10.56,2,0.1,4991.98289,28276.0,0.918,19.0
62,Australia,1970-01-01 00:00:00.000002008,2341.0,81.3,66.0,1,10.76,1,0.1,49664.6854,212492.0,0.921,19.1
63,Australia,1970-01-01 00:00:00.000002009,2337.0,81.7,66.0,1,10.62,1,0.1,42742.99898,216917.0,0.925,19.1
64,Australia,1970-01-01 00:00:00.000002010,2420.0,81.9,64.0,1,10.52,1,0.1,51874.848,223175.0,0.927,19.5
65,Australia,1970-01-01 00:00:00.000002011,2392.0,82.0,63.0,1,10.3,1,0.1,62245.129,223424.0,0.927,19.8
66,Australia,1970-01-01 00:00:00.000002012,2580.0,82.3,61.0,1,10.03,1,0.1,67677.63477,22728254.0,0.93,20.1
67,Australia,1970-01-01 00:00:00.000002013,2608.0,82.5,61.0,1,9.87,1,0.1,67792.3386,23117353.0,0.933,20.3
68,Australia,1970-01-01 00:00:00.000002014,2891.0,82.7,6.0,1,9.71,1,0.1,62214.6912,2346694.0,0.936,20.4
69,Australia,1970-01-01 00:00:00.000002015,3027.0,82.8,59.0,1,9.71,1,0.1,56554.3876,23789338.0,0.937,20.4
70,Austria,1970-01-01 00:00:00.000002000,1588.0,78.1,96.0,0,13.2,0,0.1,24517.26745,811566.0,0.833,15.4
71,Austria,1970-01-01 00:00:00.000002001,1489.0,78.6,92.0,0,12.4,0,0.1,24489.73553,842293.0,0.837,15.5
72,Austria,1970-01-01 00:00:00.000002002,1553.0,78.7,9.0,0,12.5,0,0.1,26351.37568,881957.0,0.847,16.1
73,Austria,1970-01-01 00:00:00.000002003,1456.0,78.8,88.0,0,12.2,0,0.1,3212.9355,8121423.0,0.837,14.7
74,Austria,1970-01-01 00:00:00.000002004,1422.0,79.3,86.0,0,12.1,0,0.1,36693.4262,8171966.0,0.841,14.7
75,Austria,1970-01-01 00:00:00.000002005,1399.0,79.4,85.0,0,12.4,0,0.1,38242.4252,8227829.0,0.848,14.9
76,Austria,1970-01-01 00:00:00.000002006,1297.0,79.8,81.0,0,12.4,0,0.1,443.99361,8268641.0,0.854,15.0
77,Austria,1970-01-01 00:00:00.000002007,1285.0,81.0,8.0,0,12.5,0,0.1,46586.6525,8295487.0,0.86,15.2
78,Austria,1970-01-01 00:00:00.000002008,1267.0,84.0,76.0,0,12.0,0,0.1,51386.37665,8321496.0,0.864,15.1
79,Austria,1970-01-01 00:00:00.000002009,1278.0,82.0,77.0,0,11.3,0,0.1,47654.18721,8343323.0,0.87,15.3
80,Austria,1970-01-01 00:00:00.000002010,1264.0,84.0,75.0,0,12.1,0,0.1,46657.629,836344.0,0.872,15.4
81,Austria,1970-01-01 00:00:00.000002011,1288.0,88.0,73.0,0,12.04,0,0.1,51126.74139,8391643.0,0.88,15.7
82,Austria,1970-01-01 00:00:00.000002012,1276.0,88.0,7.0,0,12.26,0,0.1,48333.57273,8429991.0,0.884,15.7
83,Austria,1970-01-01 00:00:00.000002013,1291.0,81.1,68.0,0,11.82,0,0.1,554.71532,8479375.0,0.887,15.7
84,Austria,1970-01-01 00:00:00.000002014,1314.0,81.4,66.0,0,12.32,0,0.1,51322.63997,8541575.0,0.892,15.9
85,Austria,1970-01-01 00:00:00.000002015,1251.0,81.5,65.0,0,12.32,0,0.1,43665.947,8633169.0,0.892,15.9
86,Azerbaijan,1970-01-01 00:00:00.000002000,62.0,66.6,16.0,9,0.65,11,0.1,655.974326,8486.0,0.636,10.1
87,Azerbaijan,1970-01-01 00:00:00.000002001,317.0,67.5,151.0,8,0.51,10,0.1,73.6838434,81112.0,0.642,10.4
88,Azerbaijan,1970-01-01 00:00:00.000002002,92.0,67.8,146.0,7,0.55,9,0.1,763.73858,817195.0,0.651,10.6
89,Azerbaijan,1970-01-01 00:00:00.000002003,129.0,67.8,154.0,7,0.55,8,0.1,883.6439965,82341.0,0.659,10.8
90,Azerbaijan,1970-01-01 00:00:00.000002004,108.0,68.4,154.0,6,0.62,8,0.1,145.2163,8365.0,0.668,11.0
91,Azerbaijan,1970-01-01 00:00:00.000002007,55.0,73.0,14.0,6,1.02,7,0.1,3851.437869,85813.0,0.708,11.6
92,Bahamas,1970-01-01 00:00:00.000002000,11.0,72.6,192.0,0,12.15,0,0.1,3851.437869,269738.0,0.0,12.0
93,Bahamas,1970-01-01 00:00:00.000002001,1.0,72.9,189.0,0,11.64,0,0.2,3851.437869,276140.0,0.779,12.1
94,Bahamas,1970-01-01 00:00:00.000002002,3.0,73.1,19.0,0,10.85,0,0.1,3851.437869,282555.0,0.781,12.1
95,Bahamas,1970-01-01 00:00:00.000002003,1.0,73.2,189.0,0,10.68,0,0.1,3851.437869,288888.0,0.783,12.2
96,Bahamas,1970-01-01 00:00:00.000002004,2.0,73.8,174.0,0,10.1,0,0.1,3851.437869,295237.0,0.784,12.3
97,Bahamas,1970-01-01 00:00:00.000002005,4.0,74.1,172.0,0,10.49,0,0.1,3851.437869,301763.0,0.786,12.4
98,Bahamas,1970-01-01 00:00:00.000002006,2.0,74.2,171.0,0,11.07,0,0.1,3851.437869,308499.0,0.788,12.4
99,Bahamas,1970-01-01 00:00:00.000002007,5.0,74.4,167.0,0,10.75,0,0.1,3851.437869,314989.0,0.79,12.5
100,Bahamas,1970-01-01 00:00:00.000002008,4.0,74.5,167.0,0,10.15,0,0.1,3851.437869,321447.0,0.791,12.6
101,Bahamas,1970-01-01 00:00:00.000002009,6.0,74.6,168.0,0,9.29,0,0.1,3851.437869,327813.0,0.791,12.6
102,Bahamas,1970-01-01 00:00:00.000002010,10.0,75.0,161.0,0,9.19,0,0.2,3851.437869,333869.0,0.788,12.6
103,Bahamas,1970-01-01 00:00:00.000002011,4.0,75.0,162.0,0,9.34,0,0.1,3851.437869,338383.0,0.788,12.6
104,Bahamas,1970-01-01 00:00:00.000002012,5.0,74.9,167.0,0,9.5,0,0.2,3851.437869,343558.0,0.789,12.6
105,Bahamas,1970-01-01 00:00:00.000002013,5.0,74.8,172.0,0,9.42,0,0.1,3851.437869,348959.0,0.79,12.6
106,Bahrain,1970-01-01 00:00:00.000002000,29.0,74.5,92.0,0,2.15,0,0.1,13636.34668,590594.0,0.786,13.2
107,Bahrain,1970-01-01 00:00:00.000002001,23.0,74.7,9.0,0,1.95,0,0.1,12868.211,624083.0,0.794,13.3
108,Bahrain,1970-01-01 00:00:00.000002002,25.0,74.9,87.0,0,1.99,0,0.1,1312.33457,661010.0,0.796,13.5
109,Bahrain,1970-01-01 00:00:00.000002003,34.0,75.0,85.0,0,2.16,0,0.1,14221.99259,702913.0,0.798,13.7
110,Bahrain,1970-01-01 00:00:00.000002004,42.0,75.2,83.0,0,2.16,0,0.1,15846.47641,751559.0,0.803,13.9
111,Bahrain,1970-01-01 00:00:00.000002005,42.0,75.3,81.0,0,2.05,0,0.1,17959.17854,819540.0,0.806,14.0
112,Bahrain,1970-01-01 00:00:00.000002006,28.0,75.5,79.0,0,2.1,0,0.1,1937.99549,888543.0,0.81,14.2
113,Bahrain,1970-01-01 00:00:00.000002007,40.0,75.6,77.0,0,2.0,0,0.1,2977.1153,964770.0,0.813,14.4
114,Bahrain,1970-01-01 00:00:00.000002008,43.0,75.8,76.0,0,2.0,0,0.1,2367.56535,1024110.0,0.815,14.4
115,Bahrain,1970-01-01 00:00:00.000002009,36.0,76.0,74.0,0,1.95,0,0.1,19356.67236,1092922.0,0.814,14.4
116,Bahrain,1970-01-01 00:00:00.000002010,19.0,76.1,73.0,0,1.93,0,0.1,2722.1389,1139160.0,0.81,14.4
117,Bahrain,1970-01-01 00:00:00.000002011,18.0,76.1,76.0,0,1.66,0,0.1,2281.1242,1103462.0,0.812,14.4
118,Bahrain,1970-01-01 00:00:00.000002012,19.0,76.5,71.0,0,1.7,0,0.1,23649.36661,1201778.0,0.812,14.5
119,Bahrain,1970-01-01 00:00:00.000002013,5.0,76.7,7.0,0,1.65,0,0.1,251.18329,1214492.0,0.815,14.5
120,Bahrain,1970-01-01 00:00:00.000002014,9.0,76.8,7.0,0,1.57,0,0.1,24983.3792,1213966.0,0.82,14.5
121,Barbados,1970-01-01 00:00:00.000002000,10.0,73.3,127.0,0,7.43,0,0.9,11568.1111,251133.0,0.741,14.0
122,Barbados,1970-01-01 00:00:00.000002001,2.0,73.4,125.0,0,7.38,0,0.7,11513.87189,252406.0,0.75,14.0
123,Barbados,1970-01-01 00:00:00.000002002,0.0,73.5,123.0,0,7.59,0,0.8,11675.39395,253353.0,0.749,14.0
124,Barbados,1970-01-01 00:00:00.000002003,0.0,73.7,121.0,0,7.65,0,0.4,1228.5447,254122.0,0.753,14.2
125,Barbados,1970-01-01 00:00:00.000002004,3.0,73.8,119.0,0,7.68,0,0.2,12868.8639,254925.0,0.757,14.4
126,Barbados,1970-01-01 00:00:00.000002005,1.0,73.9,117.0,0,8.01,0,0.1,14223.86576,255889.0,0.761,14.6
127,Barbados,1970-01-01 00:00:00.000002006,9.0,74.1,115.0,0,8.39,0,0.1,15646.5591,256883.0,0.766,14.8
128,Barbados,1970-01-01 00:00:00.000002007,0.0,74.2,113.0,0,8.47,0,0.1,16462.48556,258083.0,0.771,15.0
129,Barbados,1970-01-01 00:00:00.000002008,1.0,74.4,111.0,0,8.95,0,0.1,1657.3228,259414.0,0.775,15.3
130,Barbados,1970-01-01 00:00:00.000002009,5.0,74.6,19.0,0,8.46,0,0.1,16523.32388,260718.0,0.779,15.5
131,Barbados,1970-01-01 00:00:00.000002010,3.0,74.7,16.0,0,8.41,0,0.1,1595.91232,261927.0,0.781,15.8
132,Barbados,1970-01-01 00:00:00.000002011,0.0,74.9,14.0,0,8.51,0,0.1,15534.1574,263203.0,0.78,15.5
133,Barbados,1970-01-01 00:00:00.000002012,0.0,75.1,12.0,0,8.61,0,0.1,15384.8749,264270.0,0.785,15.3
134,Barbados,1970-01-01 00:00:00.000002013,0.0,75.2,11.0,0,8.74,0,0.1,15472.7814,265165.0,0.792,15.3
135,Belarus,1970-01-01 00:00:00.000002000,3483.0,68.0,247.0,1,12.98,1,0.1,1276.28834,997961.0,0.675,13.1
136,Belarus,1970-01-01 00:00:00.000002001,3303.0,67.7,254.0,1,10.74,1,0.1,1244.373185,9928549.0,0.681,13.3
137,Belarus,1970-01-01 00:00:00.000002002,3291.0,67.2,262.0,1,12.23,1,0.1,1479.383142,9865548.0,0.687,13.6
138,Belarus,1970-01-01 00:00:00.000002003,3456.0,67.7,253.0,1,11.17,1,0.1,1819.525644,9796749.0,0.695,13.9
139,Belarus,1970-01-01 00:00:00.000002007,2659.0,69.8,226.0,1,14.22,1,0.1,4735.484827,956953.0,0.739,14.9
140,Belarus,1970-01-01 00:00:00.000002008,2658.0,70.0,224.0,1,14.67,1,0.1,6376.183153,9527985.0,0.755,15.1
141,Belarus,1970-01-01 00:00:00.000002009,2743.0,70.0,226.0,0,14.09,1,0.1,5176.172649,956765.0,0.771,15.4
142,Belarus,1970-01-01 00:00:00.000002010,2459.0,73.0,222.0,0,14.44,1,0.1,63.38877,949583.0,0.78,15.5
143,Belarus,1970-01-01 00:00:00.000002011,2172.0,72.0,232.0,0,17.31,1,0.1,6519.71753,9473172.0,0.787,15.5
144,Belarus,1970-01-01 00:00:00.000002013,1902.0,71.7,23.0,0,14.66,1,0.1,7978.825443,9465997.0,0.796,15.7
145,Belarus,1970-01-01 00:00:00.000002014,1741.0,72.0,199.0,0,13.94,0,0.1,8318.429294,9474511.0,0.796,15.7
146,Belgium,1970-01-01 00:00:00.000002000,2143.0,77.6,11.0,1,11.21,1,0.1,2327.4591,125125.0,0.869,18.0
147,Belgium,1970-01-01 00:00:00.000002001,2165.0,78.0,1.0,1,11.01,1,0.1,23121.56635,128657.0,0.873,18.2
148,Belgium,1970-01-01 00:00:00.000002002,2076.0,78.0,99.0,1,11.29,1,0.1,2552.3328,1332785.0,0.875,18.8
149,Belgium,1970-01-01 00:00:00.000002003,2091.0,78.3,95.0,0,11.28,1,0.1,3743.95693,1376133.0,0.878,18.6
150,Belgium,1970-01-01 00:00:00.000002004,1987.0,78.8,91.0,1,12.05,1,0.1,35589.71295,1421137.0,0.88,18.8
151,Belgium,1970-01-01 00:00:00.000002005,2029.0,78.9,89.0,0,12.27,1,0.1,36967.28292,1478617.0,0.861,15.7
152,Belgium,1970-01-01 00:00:00.000002006,1935.0,79.4,85.0,0,10.98,1,0.1,38852.3613,1547958.0,0.865,15.7
153,Belgium,1970-01-01 00:00:00.000002007,1857.0,79.5,86.0,0,10.25,1,0.1,4443.83131,16257.0,0.871,15.8
154,Belgium,1970-01-01 00:00:00.000002008,1999.0,79.5,87.0,0,10.47,1,0.1,48424.58927,179973.0,0.874,15.8
155,Belgium,1970-01-01 00:00:00.000002009,2013.0,79.8,85.0,0,10.05,1,0.1,4488.5615,1796493.0,0.876,15.8
156,Belgium,1970-01-01 00:00:00.000002010,2013.0,80.0,81.0,0,10.22,1,0.1,4438.23741,1895586.0,0.878,15.9
157,Belgium,1970-01-01 00:00:00.000002011,2088.0,83.0,8.0,0,10.11,1,0.1,4772.77415,1147744.0,0.884,16.1
158,Belgium,1970-01-01 00:00:00.000002012,2026.0,83.0,78.0,0,10.08,1,0.1,4474.5717,11128246.0,0.886,16.2
159,Belgium,1970-01-01 00:00:00.000002013,1895.0,87.0,77.0,0,11.77,1,0.1,4651.38647,11182817.0,0.889,16.3
160,Belgium,1970-01-01 00:00:00.000002014,1899.0,89.0,76.0,0,12.6,1,0.1,47439.39684,112957.0,0.89,16.3
161,Belgium,1970-01-01 00:00:00.000002015,1867.0,81.1,74.0,0,12.6,1,0.1,4356.875,11274196.0,0.895,16.6
162,Belize,1970-01-01 00:00:00.000002000,18.0,68.3,196.0,0,4.79,0,0.3,3364.423711,247315.0,0.668,11.7
163,Belize,1970-01-01 00:00:00.000002001,19.0,68.2,21.0,0,4.9,0,0.4,3419.275719,254984.0,0.677,11.8
164,Belize,1970-01-01 00:00:00.000002002,14.0,68.5,199.0,0,4.99,0,0.1,3556.561825,26226.0,0.678,11.9
165,Belize,1970-01-01 00:00:00.000002003,12.0,68.4,21.0,0,5.67,0,1.5,3679.99523,26913.0,0.684,12.2
166,Belize,1970-01-01 00:00:00.000002004,20.0,68.7,197.0,0,6.2,0,0.8,3831.53819,27689.0,0.691,12.5
167,Belize,1970-01-01 00:00:00.000002005,12.0,69.0,191.0,0,6.25,0,0.8,3933.332215,283277.0,0.695,12.8
168,Belize,1970-01-01 00:00:00.000002006,11.0,69.4,184.0,0,6.48,0,0.6,4187.3783,29747.0,0.692,12.3
169,Belize,1970-01-01 00:00:00.000002007,8.0,69.6,181.0,0,7.24,0,0.6,4324.876427,29847.0,0.7,12.8
170,Belize,1970-01-01 00:00:00.000002008,11.0,69.6,181.0,0,7.22,0,0.1,447.22796,36165.0,0.699,12.8
171,Belize,1970-01-01 00:00:00.000002009,15.0,69.5,184.0,0,6.85,0,0.3,4258.788611,313929.0,0.7,12.7
172,Belize,1970-01-01 00:00:00.000002010,15.0,69.5,186.0,0,6.76,0,0.2,4344.15177,32168.0,0.7,12.4
173,Belize,1970-01-01 00:00:00.000002011,33.0,69.4,188.0,0,6.64,0,0.5,4516.24675,329192.0,0.7,12.4
174,Belize,1970-01-01 00:00:00.000002012,18.0,69.4,189.0,0,6.66,0,0.1,4673.63848,33671.0,0.702,12.5
175,Belize,1970-01-01 00:00:00.000002013,17.0,69.8,18.0,0,6.56,0,0.2,4688.538443,344181.0,0.706,12.9
176,Belize,1970-01-01 00:00:00.000002014,24.0,70.0,177.0,0,6.58,0,0.2,4852.223666,351694.0,0.705,12.8
177,Belize,1970-01-01 00:00:00.000002015,26.0,71.0,175.0,0,6.58,0,0.2,4849.997495,359288.0,0.706,12.8
178,Bosnia and Herzegovina,1970-01-01 00:00:00.000002011,5.0,76.9,92.0,0,4.64,0,0.1,55.156834,3688865.0,0.711,13.4
179,Bosnia and Herzegovina,1970-01-01 00:00:00.000002014,313.0,77.2,89.0,0,4.03,0,0.1,5193.94932,35662.0,0.742,14.2
180,Brazil,1970-01-01 00:00:00.000002000,6763.0,75.0,183.0,111,7.26,127,0.1,3739.11936,175287587.0,0.677,14.1
181,Brazil,1970-01-01 00:00:00.000002001,7710.0,71.0,179.0,103,7.13,118,0.1,3146.95177,1777567.0,0.685,14.3
182,Brazil,1970-01-01 00:00:00.000002002,7697.0,71.4,176.0,95,7.0,109,0.1,2819.649531,1815121.0,0.692,14.6
183,Brazil,1970-01-01 00:00:00.000002003,7839.0,71.8,172.0,88,6.95,100,0.1,359.587582,182482149.0,0.699,14.8
184,Brazil,1970-01-01 00:00:00.000002004,7995.0,72.0,17.0,81,6.85,93,0.1,3623.47667,184738458.0,0.695,14.0
185,Brazil,1970-01-01 00:00:00.000002005,8529.0,72.7,163.0,75,6.97,85,0.1,477.182746,186917361.0,0.694,13.8
186,Brazil,1970-01-01 00:00:00.000002006,8618.0,73.0,161.0,70,7.1,79,0.1,586.145975,18912412.0,0.698,13.8
187,Brazil,1970-01-01 00:00:00.000002007,8855.0,73.3,159.0,65,7.19,73,0.1,7313.557962,19126637.0,0.7,13.5
188,Brazil,1970-01-01 00:00:00.000002008,9184.0,73.4,158.0,61,7.21,68,0.1,8787.61375,19297929.0,0.704,13.3
189,Brazil,1970-01-01 00:00:00.000002009,9346.0,73.6,157.0,57,7.33,64,0.1,8553.3847,194895996.0,0.714,13.8
190,Brazil,1970-01-01 00:00:00.000002010,9429.0,73.8,154.0,54,7.52,61,0.1,11224.1548,196796269.0,0.716,13.8
191,Brazil,1970-01-01 00:00:00.000002011,9822.0,74.1,152.0,51,7.58,57,0.1,13167.47289,198686688.0,0.724,14.0
192,Brazil,1970-01-01 00:00:00.000002012,10295.0,74.5,148.0,49,7.55,54,0.1,12291.46685,256983.0,0.73,14.2
193,Brazil,1970-01-01 00:00:00.000002013,10513.0,74.7,146.0,46,7.24,52,0.1,12216.9446,2248632.0,0.734,14.2
194,Brazil,1970-01-01 00:00:00.000002014,10631.0,74.8,144.0,44,7.32,49,0.1,1226.61731,24213133.0,0.747,15.2
195,Brazil,1970-01-01 00:00:00.000002015,11163.0,75.0,142.0,42,7.32,47,0.1,8757.2622,2596218.0,0.754,15.2
196,Brunei Darussalam,1970-01-01 00:00:00.000002000,5.0,74.4,16.0,0,0.37,0,0.1,188.44826,298374.0,0.818,13.4
197,Brunei Darussalam,1970-01-01 00:00:00.000002001,4.0,74.7,19.0,0,0.47,0,0.1,16468.12886,298563.0,0.819,13.4
198,Brunei Darussalam,1970-01-01 00:00:00.000002002,1.0,74.8,95.0,0,0.13,0,0.1,16846.2198,303100.0,0.82,13.3
199,Brunei Darussalam,1970-01-01 00:00:00.000002003,5.0,76.0,89.0,0,0.12,0,0.1,18555.56649,302800.0,0.823,13.4
200,Brunei Darussalam,1970-01-01 00:00:00.000002004,3.0,76.4,89.0,0,0.11,0,0.1,21896.6527,324800.0,0.828,13.7
201,Brunei Darussalam,1970-01-01 00:00:00.000002005,7.0,76.2,92.0,0,0.16,0,0.1,2612.13345,335400.0,0.834,14.1
